"treatment","stem_length","days_to_flower"
"high_water",1.8,132
"high_water",1.8,123
"high_water",2.45,134.5
"high_water",2.5,125
"high_water",2.15,120.5
"low_water",2.3,101
"high_water",1.05,129.5
"high_water",2.7,130
"high_water",0.2,129.5
"high_water",1.6,114.5
"high_water",4.5,98
"low_water",2.7,114.5
"high_water",3.85,100
"low_water",2.7,132
"high_water",9.05,103.5
"low_water",1.05,125.5
"high_water",4.55,96
"low_water",1.85,127
"high_water",3.2,94
"low_water",2.65,108.5
"high_water",3.4,102
"low_water",1.45,145
"high_water",5.15,100
"low_water",1.7,115
"high_water",4.4,99
"low_water",0.4,119
"high_water",1.6,103
"low_water",0.45,127.5
"high_water",5.8,96
"low_water",1.4,115
"high_water",4.1,99
"low_water",1.75,104
"high_water",4.9,94
"low_water",0.3,134.5
"high_water",2.6,94
"low_water",2.75,117
"high_water",3.25,90
"low_water",1.35,97.5
"high_water",3.9,88.5
"low_water",2.1,102.5
"high_water",5.75,93.5
"low_water",0.95,106.5
"high_water",4.35,95.5
"high_water",3.9,90.5
"low_water",2.85,117.5
"high_water",4.6,88.5
"low_water",1,102.5
"high_water",4.4,92
"low_water",0.8,111
"high_water",15.2,94.5
"low_water",0.5,132
"high_water",9.8,94
"low_water",4.25,120.5
"high_water",3.25,98.5
"low_water",1.75,125.5
"high_water",3.85,97
"low_water",1.3,103
"high_water",0.7,91
"low_water",0.35,107.5
"high_water",1.7,99
"low_water",1.9,108.5
"high_water",2.85,98
"low_water",2.45,122.5
"high_water",8,83.5
"low_water",1.85,105.5
"high_water",3.1,95
"low_water",1.95,108.5
"high_water",2.95,94.5
"low_water",2.1,118.5
"high_water",7,95
"low_water",3.05,115
"high_water",3.9,105
"low_water",3.9,107
"high_water",4.65,97.5
"high_water",6.53333333333333,94
"low_water",2.55,122
"high_water",4.05,97.3333333333333
"low_water",1.85,128.5
"high_water",5.35,95.5
"low_water",3.3,113
"high_water",4.4,104
"low_water",2.3,122.5
"high_water",5,97
"low_water",1.95,110
"high_water",7.65,98
"low_water",2.5,128
"high_water",6.35,96
"low_water",2.25,122
"high_water",6.05,75.5
"low_water",2.2,88
"high_water",9.4,77.5
"low_water",1.05,83.5
"high_water",11.5,76
"low_water",3.8,77
"high_water",12.4,76.5
"low_water",2.9,82.5
"high_water",5.3,80
"low_water",1.5,82
"high_water",8.45,85.5
"low_water",2.6,82.5
"high_water",9.85,75
"low_water",5.25,80.5
"high_water",11.6666666666667,81
"low_water",2.3,84
"high_water",3.2,92
"low_water",1.6,112.5
"high_water",10.65,78
"low_water",3.35,77.5
"high_water",7.6,89
"low_water",1.95,104
"high_water",3.1,99
"low_water",1.85,111
"high_water",5,90
"low_water",1.2,104.5
"high_water",5.15,95.5
"low_water",1.3,108
"high_water",3.3,99.5
"low_water",0.65,115
"high_water",4.6,99
