Species,Longitude,Latitude,log_rarefied_abundance,Ann_mean_temp,Mean_diurnal_range,temp_seasonality,Max_temp,Min_temp,temp_annual_range,Annual_precip,wettest_month,driest_month,Precip_seasonality
Campostoma_anomalum,-73.8571,42.7834,1.3802,8.5,11.7,961.5,28.4,-11.1,39.5,953,92,58,13
Campostoma_anomalum,-74.254,42.6787,0,7.8,11.8,945.1,27.5,-11.4,38.9,991,97,60,13
Campostoma_anomalum,-74.6029,42.8762,1.1461,7.7,11.8,952.9,27.7,-11.4,39.1,1029,100,61,13
Campostoma_anomalum,-74.6276,42.9679,0.4771,8.2,12.1,961.5,28.5,-11.2,39.7,1019,98,62,13
Campostoma_anomalum,-76.4758,39.8076,1.5563,11.4,11.2,874.6,29.3,-6.3,35.6,1064,105,68,12
Campostoma_anomalum,-76.6914,40.6634,0,10.1,11.7,892.9,29,-7.6,36.6,1054,107,67,14
Campostoma_anomalum,-77.2344,39.6789,0.9031,11.3,12.4,866.4,30,-6.5,36.5,1035,101,72,10
Campostoma_anomalum,-77.3775,39.3879,0,11.9,12.4,863.4,30.4,-6,36.4,965,93,64,12
Campostoma_anomalum,-77.5764,39.2551,1.3802,12.1,12.4,859.9,30.6,-5.7,36.3,985,97,66,12
Campostoma_anomalum,-78.6542,39.4475,0.9031,11.3,13.6,856.8,30.5,-7.1,37.6,890,91,55,16
Campostoma_anomalum,-78.6803,39.2176,1.2041,10.2,13.1,838.8,28.5,-8.1,36.6,930,95,58,16
Campostoma_anomalum,-78.9572,39.0117,0.301,11.4,14,825.7,30,-6.9,36.9,891,94,55,17
Campostoma_anomalum,-79.2364,40.719,1.7853,8.9,12.2,882.7,27.4,-9.4,36.8,1112,116,69,16
Campostoma_anomalum,-79.2392,38.336,0.301,10.3,13.1,793.5,27.8,-7.3,35.1,1004,101,66,13
Campostoma_anomalum,-79.3214,39.8204,1.7076,9.1,12.6,856.2,27.4,-9,36.4,1101,115,70,14
Campostoma_anomalum,-79.8612,40.5826,1.7076,9.8,12.4,878.5,28.5,-8.4,36.9,1001,104,60,16
Campostoma_anomalum,-79.9706,39.7592,1.6435,11,12.8,842.6,29.1,-6.8,35.9,1026,108,63,16
