Plot,N_min_rate,Celastrus
1,0.022211111,1
1,0.0237,1
1,0.025244444,1
1,0.017055556,0
1,0.014977778,0
1,0.016466667,0
2,0.018622222,1
2,0.014688889,1
2,0.014777778,1
2,0.010844444,0
2,0.013211111,0
2,0.011966667,0
3,0.022877778,1
3,0.022877778,1
3,0.022255556,1
3,0.017122222,0
3,0.013988889,0
4,0.011711111,1
4,0.010533333,1
4,0.013355556,1
4,0.017666667,0
4,0.013877778,0
4,0.011766667,0
5,0.016744444,1
5,0.018311111,1
5,0.013488889,1
5,0.016366667,0
5,0.017166667,0
5,0.015944444,0
6,0.014755556,1
6,0.017077778,1
6,0.015622222,1
6,0.0106,0
6,0.012566667,0
6,0.011633333,0
7,0.014311111,1
7,0.011766667,1
7,0.0147,1
7,0.013077778,0
7,0.014911111,0
7,0.014344444,0
