"","judge","pair","score"
"1",1,1,5.6
"2",1,2,5.5
"3",1,3,6
"4",1,4,5.6
"5",1,5,4.8
"6",1,6,4.8
"7",1,7,4.3
"8",2,1,5.5
"9",2,2,5.7
"10",2,3,5.5
"11",2,4,5.3
"12",2,5,4.8
"13",2,6,5.6
"14",2,7,4.6
"15",3,1,5.8
"16",3,2,5.6
"17",3,3,5.7
"18",3,4,5.8
"19",3,5,5.5
"20",3,6,5
"21",3,7,4.5
"22",4,1,4.7
"23",4,2,5.4
"24",4,3,4.9
"25",4,4,4.8
"26",4,5,4.4
"27",4,6,4.7
"28",4,7,4
"29",5,1,5.7
"30",5,2,5.5
"31",5,3,5.5
"32",5,4,4.5
"33",5,5,4.6
"34",5,6,4
"35",5,7,3.6
"36",6,1,5.3
"37",6,2,5.3
"38",6,3,5.2
"39",6,4,5
"40",6,5,4.8
"41",6,6,4.6
"42",6,7,4
"43",7,1,5.4
"44",7,2,5.7
"45",7,3,5.7
"46",7,4,5.5
"47",7,5,5.2
"48",7,6,5.2
"49",7,7,4.8
