ID	Year	Gender	Habitat	Body_mass	Season_BM	RMR	Season_RMR
101	2002	m	s	100	2	NA	NA
101	2002	m	s	112	2	NA	NA
102	2002	f	s	40	2	NA	NA
103	2002	m	s	89	2	NA	NA
104	2002	m	s	98	2	NA	NA
105	2002	m	s	79.5	2	NA	NA
106	2002	m	m	69	NA	NA	NA
107	2002	m	m	122	NA	NA	NA
108	2002	m	m	78	2	NA	NA
108	2002	m	m	84	2	NA	NA
109	2002	f	f	36	NA	NA	NA
110	2002	f	m	49	2	NA	NA
111	2002	f	m	44	2	NA	NA
112	2003	f	s	46	1	NA	NA
113	2003	m	s	114	1	NA	NA
114	2003	m	s	108	1	NA	NA
115	2003	m	s	126	1	NA	NA
115	2003	m	s	131	1	NA	NA
116	2003	f	s	32	1	NA	NA
117	2003	f	s	42	1	NA	NA
117	2003	f	s	42	1	NA	NA
118	2003	m	s	80	1	NA	NA
118	2003	m	s	81	1	NA	NA
119	2003	f	s	39	1	NA	NA
120	2003	f	f	40	1	NA	NA
121	2003	m	s	85	1	NA	NA
122	2003	f	f	45	1	NA	NA
123	2003	f	s	41	1	NA	NA
124	2003	m	s	100	1	NA	NA
125	2003	m	m	68	2	NA	NA
125	2003	m	m	68	2	NA	NA
126	2003	m	f	63	2	NA	NA
127	2003	m	m	94	2	NA	NA
128	2003	m	s	80	2	NA	NA
129	2003	m	m	58	2	NA	NA
130	2003	f	s	44	2	NA	NA
131	2003	m	s	108	2	NA	NA
132	2003	m	m	66	2	NA	NA
133	2003	f	m	34	2	NA	NA
134	2003	f	m	36	2	NA	NA
135	2003	f	s	56	2	NA	NA
136	2003	m	s	90.2	2	201.75	1
137	2004	f	s	43.5	1	128.733	1
137	2004	f	s	38.6	1	138.33	1
137	2004	f	s	37	1	NA	NA
138	2005	m	s	129.3	1	204.612	2
138	2005	m	s	135.3	1	220.97	2
138	2004	m	s	101.2	1	NA	NA
138	2004	m	s	103.7	1	NA	NA
140	2004	m	s	94.5	1	207.27	1
140	2004	m	s	96	1	209.874	1
140	2004	m	s	98.5	1	NA	NA
141	2004	f	s	42	1	133.27	1
141	2004	f	s	40.8	1	140.945	1
142	2004	m	s	99.7	1	219.784	1
142	2004	m	s	109.4	1	242.89	1
143	2004	m	s	85.9	1	188.87	1
143	2004	m	s	83.1	1	192.53	1
144	2004	m	m	96.3	1	210.894	1
144	2004	m	m	103.3	1	NA	NA
144	2004	m	m	106.6	1	NA	NA
145	2004	m	s	134.9	1	NA	NA
146	2004	m	s	97.5	1	NA	NA
147	2004	m	s	115.6	1	240.992	1
147	2004	m	s	103.7	1	NA	NA
147	2004	m	s	112.2	1	NA	NA
148	2004	m	m	100.2	1	213.941	1
148	2004	m	m	97.7	1	NA	NA
149	2005	m	m	96.2	1	181.28	1
149	2004	m	m	97.4	1	NA	NA
149	2004	m	m	99.1	1	NA	NA
149	2004	m	m	100.5	1	NA	NA
150	2005	m	m	95.3	1	197.08	2
150	2005	m	s	103.9	1	202.709	2
150	2005	m	m	105.7	1	212.25	1
150	2004	m	s	97.8	1	230.63	1
150	2004	m	m	88.4	1	NA	NA
150	2004	m	s	93.4	1	NA	NA
150	2004	m	f	97	1	NA	NA
150	2004	m	m	99.3	1	NA	NA
151	2004	m	m	122.7	2	223.26	1
152	2004	m	f	69.1	2	158.107	1
152	2004	m	f	63.1	NA	NA	NA
152	2004	m	f	66	NA	NA	NA
153	2004	m	m	91.6	2	184.857	2
