"","Fire","Transect","Treated","Diameter","ScorchHt","CharHt","Slope","fake"
"1",1,1,1,0.084,-0.68,1.14,1.395,1.15183272753942
"2",1,1,1,-0.133,-0.729,1.304,1.395,-0.0444336622025024
"3",1,1,1,-0.498,-0.567,0.707,1.395,-0.375862206630251
"4",1,1,1,-0.133,-1.154,0.632,1.395,0.0906874459997561
"5",1,1,1,-0.573,-0.592,1.549,0.807,0.497033042877476
"6",1,1,1,-0.35,-0.243,0.837,0.807,-0.0642422870270101
"7",1,1,1,-1.149,-0.892,1,0.807,0.776136323368037
"8",1,1,1,-0.281,-0.63,1.265,0.807,0.745730619797703
"9",1,1,1,-0.573,-0.155,1.183,0.071,-0.539692085729725
"10",1,1,1,-0.715,-0.28,1.673,0.071,-0.481266845936826
"11",1,1,1,-0.715,0.394,1.483,0.071,1.33426298354631
"12",1,1,1,0.084,0.206,1.643,0.071,0.248285758519466
"13",1,1,1,-0.424,0.019,2.324,1.248,1.78744315950725
"14",1,1,1,-0.35,-0.28,2.074,1.248,0.860386540973371
"15",1,1,1,-0.35,0.269,1.949,1.248,-0.110361211970516
"16",1,1,1,-0.858,-0.13,1.673,1.248,2.01563767610759
"17",1,1,1,-1.006,-0.605,1.449,1.69,0.59038556605016
"18",1,1,1,0.01,0.993,1.643,1.69,-2.40578280643838
"19",1,1,1,-0.789,0.194,2.121,1.69,-0.208869207981651
"20",1,1,1,-0.133,0.706,1.414,1.69,1.11735189611051
"21",1,2,0,-1.366,-0.106,2.757,1.248,1.2822982694617
"22",1,2,0,-1.366,-0.393,2.846,1.248,0.324885763402296
"23",1,2,0,0.153,1.142,3.194,1.248,-0.809248302838905
"24",1,2,0,0.153,0.93,2.608,1.248,-0.170785751908051
"25",1,2,0,-0.133,1.093,2.811,1.69,0.615374536055706
"26",1,2,0,-1.149,-0.255,1.673,1.69,-1.04242085841257
"27",1,2,0,1.1,0.281,2.074,1.69,-0.664431005549289
"28",1,2,0,-0.133,0.905,2.49,1.69,-0.241308819500902
"29",1,2,0,0.227,1.055,2.702,1.837,-0.204312116402542
"30",1,2,0,-0.498,0.843,2.121,1.837,-1.21339679260258
"31",1,2,0,-0.641,1.03,2.236,1.837,0.0781006274698413
"32",1,2,0,0.735,1.28,2.588,1.837,0.0112150665466205
"33",1,2,0,-0.932,0.531,1.342,0.071,-0.874596652910463
"34",1,2,0,0.301,1.417,1.975,0.071,0.918533603791826
"35",1,2,0,0.301,0.456,2.53,0.071,-0.676095611568033
"36",1,2,0,-1.366,-0.655,1.265,0.071,-0.706434497342864
"37",1,2,0,0.735,0.768,4.231,1.542,1.63037417864262
"38",1,2,0,0.878,1.43,3.873,1.542,-0.508844537191721
"39",1,2,0,-1.149,0.843,2.449,1.542,-0.662831541386832
"40",1,2,0,0.878,1.405,3.24,1.542,0.0807607342273998
"41",1,3,0,-1.109,0.019,1.183,-1.032,0.650184247408578
"42",1,3,0,-1.817,1.38,4.123,-1.032,1.92436765267094
"43",1,3,0,-1.235,-0.417,2.51,-1.032,0.133139702879586
"44",1,3,0,-1.486,0.793,3.017,-1.032,-0.683921999473035
"45",1,3,0,-0.966,-0.106,2.702,0.365,-0.401756585131622
"46",1,3,0,-0.789,-0.18,2.966,0.365,-0.877189069649254
"47",1,3,0,-0.601,0.244,2.846,0.365,-0.62346666279625
"48",1,3,0,0.661,0.993,3.937,0.365,1.52909834104241
"49",1,3,0,0.518,1.766,4.087,1.837,-0.396045798871737
"50",1,3,0,-0.498,0.743,3.768,1.837,0.637922158741945
"51",1,3,0,0.792,2.078,3.742,1.837,0.651053929896709
"52",1,3,0,-0.555,-0.63,2.588,1.837,-0.288087628422392
