"Fire" "Transect" "Treated" "Diameter" "ScorchHt" "CharHt" "Steepness"
1 "1" 1 0.084 -0.68 1.14 1.395
1 "1" 1 -0.133 -0.729 1.304 1.395
1 "1" 1 -0.498 -0.567 0.707 1.395
1 "1" 1 -0.133 -1.154 0.632 1.395
1 "1" 1 -0.573 -0.592 1.549 0.807
1 "1" 1 -0.35 -0.243 0.837 0.807
1 "1" 1 -1.149 -0.892 1 0.807
1 "1" 1 -0.281 -0.63 1.265 0.807
1 "1" 1 -0.573 -0.155 1.183 0.071
1 "1" 1 -0.715 -0.28 1.673 0.071
1 "1" 1 -0.715 0.394 1.483 0.071
1 "1" 1 0.084 0.206 1.643 0.071
1 "1" 1 -0.424 0.019 2.324 1.248
1 "1" 1 -0.35 -0.28 2.074 1.248
1 "1" 1 -0.35 0.269 1.949 1.248
1 "1" 1 -0.858 -0.13 1.673 1.248
1 "1" 1 -1.006 -0.605 1.449 1.69
1 "1" 1 0.01 0.993 1.643 1.69
1 "1" 1 -0.789 0.194 2.121 1.69
1 "1" 1 -0.133 0.706 1.414 1.69
1 "2" 0 -1.366 -0.106 2.757 1.248
1 "2" 0 -1.366 -0.393 2.846 1.248
1 "2" 0 0.153 1.142 3.194 1.248
1 "2" 0 0.153 0.93 2.608 1.248
1 "2" 0 -0.133 1.093 2.811 1.69
1 "2" 0 -1.149 -0.255 1.673 1.69
1 "2" 0 1.1 0.281 2.074 1.69
1 "2" 0 -0.133 0.905 2.49 1.69
1 "2" 0 0.227 1.055 2.702 1.837
1 "2" 0 -0.498 0.843 2.121 1.837
1 "2" 0 -0.641 1.03 2.236 1.837
1 "2" 0 0.735 1.28 2.588 1.837
1 "2" 0 -0.932 0.531 1.342 0.071
1 "2" 0 0.301 1.417 1.975 0.071
1 "2" 0 0.301 0.456 2.53 0.071
1 "2" 0 -1.366 -0.655 1.265 0.071
1 "2" 0 0.735 0.768 4.231 1.542
1 "2" 0 0.878 1.43 3.873 1.542
1 "2" 0 -1.149 0.843 2.449 1.542
1 "2" 0 0.878 1.405 3.24 1.542
1 "3" 0 -1.109 0.019 1.183 -1.032
1 "3" 0 -1.817 1.38 4.123 -1.032
1 "3" 0 -1.235 -0.417 2.51 -1.032
1 "3" 0 -1.486 0.793 3.017 -1.032
1 "3" 0 -0.966 -0.106 2.702 0.365
1 "3" 0 -0.789 -0.18 2.966 0.365
1 "3" 0 -0.601 0.244 2.846 0.365
1 "3" 0 0.661 0.993 3.937 0.365
1 "3" 0 0.518 1.766 4.087 1.837
1 "3" 0 -0.498 0.743 3.768 1.837
1 "3" 0 0.792 2.078 3.742 1.837
1 "3" 0 -0.555 -0.63 2.588 1.837
1 "3" 0 0.038 1.816 3.391 1.837
1 "3" 0 -0.133 0.269 3.162 1.837
1 "3" 0 -0.253 1.417 3.493 1.837
1 "3" 0 0.124 1.255 3.391 1.837
1 "3" 0 -0.236 0.818 2.915 2.425
1 "3" 0 0.529 1.392 3.507 2.425
1 "3" 0 -0.31 0.044 3.162 2.425
1 "3" 0 -0.007 0.568 2.811 2.425
1 "4" 1 0.084 -0.592 2.236 1.395
1 "4" 1 -0.367 -0.742 1.581 1.395
1 "4" 1 -0.104 -0.68 1.304 1.395
1 "4" 1 -1.486 -0.343 1.732 1.395
1 "4" 1 0.141 -0.655 1.095 0.512
1 "4" 1 -0.687 -0.904 0.548 0.512
1 "4" 1 0.027 -0.53 1 0.512
1 "4" 1 -0.236 -0.28 1.581 0.512
