"treeid" "diam.initial" "diam.final" "treatment"
1 19.17660083 25.15809401 0
2 13.80016765 16.49213916 0
3 19.02486596 24.24970761 0
4 19.85716691 27.97980646 0
5 10.52318783 12.11384569 0
6 18.70149689 25.38374086 0
7 6.022246378 NA 0
8 15.15939377 18.08994367 0
9 15.04399461 21.68829216 0
10 5.740275026 NA 0
11 7.132619132 NA 0
12 16.20269334 22.90739555 0
13 7.588972978 NA 0
14 17.53722194 24.98700127 0
15 8.214859013 8.896358704 0
16 10.27189656 11.77973036 0
17 13.66833913 16.47357809 0
18 18.38180851 23.87227705 0
19 3.088980371 NA 0
20 15.28664578 NA 0
21 14.83015757 19.58883943 0
22 4.144199377 NA 0
23 16.21830542 22.5694009 0
24 15.74273289 18.45539792 0
25 20.09107555 27.32652855 0
26 18.256006 25.24427347 0
27 18.14243193 23.14318985 0
28 15.13825243 17.65971994 0
29 9.034015881 NA 0
30 5.782316436 NA 0
31 11.39583594 13.00433348 0
32 22.89443565 29.91999404 0
33 20.70624075 27.99412866 0
34 3.363747714 NA 0
35 2.8937109 NA 0
36 13.67696429 18.63543304 0
37 9.979452041 10.89679363 0
38 11.90469277 13.39825165 0
39 8.934979178 NA 0
40 15.30219365 17.44116576 0
41 18.85927035 NA 0
42 10.33746964 15.08764908 0
43 4.591893582 NA 0
44 3.629331687 NA 0
45 19.99859674 27.26652541 0
46 17.69502737 24.03356449 0
47 11.82141135 14.93846206 0
48 19.83783988 26.19777893 0
49 20.68356365 28.66994435 0
50 12.28751209 14.85346505 0
51 6.717393937 NA 0
52 12.76298297 13.05597495 0
53 3.26816055 NA 0
54 14.97937133 17.26534942 0
55 18.35476717 25.34435465 0
56 18.65535431 22.36958157 0
57 12.46106465 13.98765034 0
58 16.97309069 21.24602335 0
59 15.18426271 18.79727976 0
60 19.35821499 25.22498638 0
61 4.165110877 NA 0
62 7.454658427 7.738163558 0
63 6.059210664 NA 0
64 14.89838606 19.86494979 0
65 15.90904833 23.16063986 0
